team_name,elo
Spain,2226.9222987697535
Argentina,2191.4461013464606
France,2130.459093176906
England,2096.04636914568
Colombia,2065.6312676789685
Brazil,2063.358855972839
Portugal,2061.3392285547134
Ecuador,2029.9623199901862
Netherlands,2010.6572590993223
Germany,2001.64690727091
Japan,1994.5799812506652
Mexico,1993.739168418746
Morocco,1993.3422306207776
Norway,1985.0639274391358
Uruguay,1976.9971387781097
Croatia,1974.9925374733436
Australia,1956.9011472711331
Belgium,1946.031375264456
Denmark,1939.75224542739
Italy,1936.698649712792
Switzerland,1928.9698072342035
Turkey,1921.3828208044506
Senegal,1914.2809978197135
South Korea,1905.4462238401554
Iran,1896.176175567943
Austria,1886.2997227287187
Algeria,1885.4640346878646
Nigeria,1883.5039270600685
Canada,1880.6687520247074
United States,1880.1744047771635
Yugoslavia,1873.005701268709
Scotland,1872.232014543593
Paraguay,1868.6178844828296
Panama,1860.298770286506
Ukraine,1838.7343098381996
Russia,1838.1112861921536
Venezuela,1825.9557029010214
Uzbekistan,1820.742798656623
Greece,1816.6139295873036
Ivory Coast,1816.1548339313047
Serbia,1813.4002176817253
Egypt,1811.2145875991557
Chile,1805.0036587977008
Czechoslovakia,1804.7088762868445
Jersey,1803.2655879979118
Basque Country,1799.2503570782806
Czech Republic,1783.9072683985091
Kosovo,1783.1925764400848
Sweden,1776.4717148514403
Jordan,1776.0972681851463
Peru,1773.4496375929803
Poland,1766.421077931114
DR Congo,1764.522127606413
Republic of Ireland,1762.4564509049947
Hungary,1760.9355778055292
Costa Rica,1748.1904253271282
Wales,1746.1950624333479
Guernsey,1744.7970231946765
Tunisia,1738.8332688464889
Slovenia,1738.68148101367
Iraq,1738.5945637086734
New Zealand,1732.1044743704826
German DR,1731.970745382458
Padania,1726.9692770351726
Cameroon,1725.0937945385465
Occitania,1724.2182808091152
Honduras,1721.717065517887
Slovakia,1719.51411886043
Bolivia,1719.0980050470243
Georgia,1713.2987390867186
Northern Cyprus,1711.3158363319633
Iraqi Kurdistan,1710.8319201722702
Israel,1710.8269400865015
Isle of Man,1709.0360219088168
Mali,1708.6928945405923
Romania,1704.3738871895855
Haiti,1698.3621596110102
Saudi Arabia,1695.048866014742
Bosnia and Herzegovina,1676.936067406931
Albania,1673.5941397483596
United Arab Emirates,1665.441470201292
Jamaica,1664.310102851209
Northern Ireland,1661.7543898590702
Isle of Wight,1660.0253403473744
South Africa,1657.2332459705788
Catalonia,1655.1983454041472
Cape Verde,1654.5047047541368
Guatemala,1653.636529923265
Burkina Faso,1653.0924516069463
North Macedonia,1652.2505920683514
Ynys Môn,1639.7212530515199
Abkhazia,1633.358199137559
Ghana,1626.648018772567
Iceland,1623.1156988004295
Curaçao,1611.3679948499955
Kárpátalja,1609.8622135651017
Syria,1598.8923600173507
County of Nice,1598.8678858859112
Suriname,1598.0069864241564
Kernow,1596.097423590778
Andalusia,1592.5587151562938
Rhodes,1591.339536516328
New Caledonia,1590.766204280058
Qatar,1590.5607164315666
Panjab,1590.3479311464682
Angola,1589.5914039723584
Palestine,1588.3915956791298
Finland,1586.2092413778964
Belarus,1584.7220372540169
Tamil Eelam,1582.0516161078167
Réunion,1581.2905702915666
Guinea,1577.4719361254793
Ellan Vannin,1575.4652978714523
Oman,1574.1984670811394
Kurdistan,1566.8921813931363
Menorca,1564.234563506895
Zanzibar,1556.8468041587898
Arameans Suryoye,1556.0464369513238
Corsica,1555.843260256528
Artsakh,1555.659511683143
Yorkshire,1553.5308285234098
China,1553.3114969358467
Chameria,1553.0205354780298
Zambia,1550.897929238694
Quebec,1546.211136722392
Cascadia,1545.4179446351648
Trinidad and Tobago,1542.8788679670351
Bahrain,1541.5998575581518
Benin,1539.875033385223
Gambia,1539.5737411336172
Thailand,1533.3122045572602
Libya,1531.142450841467
Galicia,1530.174274393319
Bulgaria,1530.0139842958538
Maule Sur,1528.345836909456
Guadeloupe,1523.4677213923003
Western Armenia,1522.8194620499735
Gabon,1522.5607206595428
Asturias,1520.5297736017358
Montenegro,1516.5189114003576
Surrey,1516.168596528992
Nicaragua,1515.160858465141
Canary Islands,1515.132281630096
Biafra,1514.9180632140803
Felvidék,1514.6370690592616
Parishes of Jersey,1513.786402418841
Uganda,1513.5620373272936
Elba Island,1513.270532128683
Donetsk PR,1512.2895810666153
Madagascar,1510.61212740012
Mapuche,1508.4707999873015
United Koreans in Japan,1507.2025723191975
Silesia,1506.8056457416487
Tahiti,1505.7604326512917
Crimea,1504.8410514002317
Brittany,1504.2648916239493
Indonesia,1503.841435017377
Kazakhstan,1502.9159971690503
Shetland,1500.9117161464487
Délvidék,1500.3849993773517
Niger,1498.628546985504
Székely Land,1497.752771204677
Guyana,1497.6769883276013
Sápmi,1496.7675939603812
Togo,1496.1124053610977
Central Spain,1495.317158400716
El Salvador,1495.127161564926
Mozambique,1494.8890072207805
Saugeais,1493.4961289372982
North Korea,1493.4373449497482
Cilento,1491.3278617363926
Madrid,1489.4835959381487
Luhansk PR,1489.2926818677354
North Vietnam,1488.0788428115643
Dominican Republic,1486.979141788425
Comoros,1486.5877500541192
Seborga,1486.4096391456487
Matabeleland,1484.4123655352162
Yoruba Nation,1483.6186064694793
Sealand,1483.0313975027104
Martinique,1482.9340031558602
Malaysia,1481.9402099903432
Republic of St. Pauli,1480.8101647021963
Somaliland,1478.485415719469
Zimbabwe,1476.1843806233421
Sudan,1475.7290892789856
South Ossetia,1475.4696395445426
Kuwait,1475.246619216776
Ryūkyū,1474.983615132823
West Papua,1473.6330896229795
Åland Islands,1473.3764551622537
Kenya,1472.8021493700785
Franconia,1471.3035777197294
Sierra Leone,1470.4864849948049
South Yemen,1468.907011660981
Vietnam,1468.642336012751
Romani people,1465.7923403037664
Greenland,1465.3146168100109
Aymara,1463.1833631032425
Provence,1461.139031041683
Hmong,1460.2227092311082
Kabylia,1457.0426505144455
Mayotte,1455.0079277950258
East Turkestan,1453.9356677175645
Kyrgyzstan,1452.784036250548
Luxembourg,1451.4824229710184
Chechnya,1451.277665031719
Faroe Islands,1448.7653935604853
Rwanda,1448.7333912103575
Saarland,1446.757508816104
Mauritania,1445.1137502596023
Equatorial Guinea,1444.8574716071037
Gotland,1444.1460009256969
Papua New Guinea,1442.8823742424806
Lebanon,1442.2361360025416
Malawi,1438.1934316287675
Tajikistan,1437.5464775423231
Liberia,1437.5452076782901
Monaco,1436.60979834208
Western Isles,1433.8533158804303
Manchukuo,1430.3535518953388
Găgăuzia,1429.5582778766943
Vanuatu,1429.4428566997096
Niue,1425.8044270068083
Estonia,1425.0741066734356
Namibia,1423.810524038074
Palau,1420.751790590093
Gozo,1420.5868751126152
Lesotho,1418.8746525811482
Tanzania,1418.220432095096
Cuba,1418.0631160075804
Marshall Islands,1416.4550691965194
Armenia,1414.4702697337243
Saint Barthélemy,1411.9859551000422
Fiji,1408.7849650561332
Vatican City,1408.4649032352104
Ticino,1406.2878162768827
French Guiana,1400.100094374347
Orkney,1397.1092310651388
Western Sahara,1396.1881135440144
Western Australia,1395.4037698964732
Ethiopia,1392.6826550817411
Burundi,1387.7292500132653
Botswana,1387.5725593940235
Turkmenistan,1387.0427112027173
Two Sicilies,1385.826001390935
Raetia,1381.2717568950557
Azerbaijan,1380.7687314649816
Cyprus,1370.1539311740196
Central African Republic,1362.1990070977324
Guinea-Bissau,1361.4340778464425
Barawa,1359.8890666499433
Saint Vincent and the Grenadines,1359.4517108837724
Chagos Islands,1358.2541458848348
Puerto Rico,1357.9422674498471
Yemen DPR,1354.595871439777
Solomon Islands,1347.7098421662467
Vietnam Republic,1347.1840593293089
Malta,1346.1256813932303
Saint Helena,1344.3090362994285
Hitra,1343.2735683074266
Saare County,1340.8655768093317
Philippines,1340.0940785586793
Bermuda,1334.0640239176817
Congo,1329.8942965058259
Moldova,1328.7248337238411
Saint Martin,1328.455083314732
Sark,1327.770658319404
Latvia,1320.745228928243
Micronesia,1320.504108346295
Lithuania,1319.653147321196
Eswatini,1316.4957470509967
Ambazonia,1312.1338149434646
Hong Kong,1310.4717062359864
Yemen,1306.8423443182853
Sint Maarten,1305.2279149458673
Singapore,1293.9462448127429
Wallis Islands and Futuna,1291.5065154839237
Belize,1290.0008206625087
Grenada,1289.5956059717248
Saint Pierre and Miquelon,1287.1570768707234
South Sudan,1270.7676646607513
Tibet,1266.7615159631664
Saint Kitts and Nevis,1261.8388203163388
Chad,1246.610631655555
India,1237.3285730272667
Kiribati,1224.726400924944
Montserrat,1217.9280949576653
Samoa,1216.1121718936427
Falkland Islands,1214.3471020494512
Mauritius,1208.1913195218826
Tuvalu,1208.0561358758303
Saint Lucia,1203.8319419832656
Darfur,1201.9093271902627
Eritrea,1197.8537771694525
Aruba,1196.6853729760214
Frøya,1194.2328478224047
São Tomé and Príncipe,1181.4741515073247
Afghanistan,1171.9577333961681
Dominica,1152.8115686666486
Andorra,1138.6136278977635
Myanmar,1135.7371887996715
Bangladesh,1132.3584902344621
Cook Islands,1130.6961682209148
Gibraltar,1126.4409004459515
Pakistan,1121.6061838869375
Barbados,1114.8727495945
Nepal,1103.3419991165606
Bonaire,1101.100427713484
Antigua and Barbuda,1080.1211916761595
Cambodia,1077.2960000874543
Alderney,1076.0196915922086
Djibouti,1075.3056338694623
Somalia,1060.47490512801
Taiwan,1058.7848142190364
Tonga,1056.3509784270814
Cayman Islands,1016.2056307974096
British Virgin Islands,1011.723197898676
Sri Lanka,1011.6230567143726
Seychelles,1010.9797256873915
Maldives,998.0747058494286
Mongolia,981.4421949936848
Guam,974.9248743356159
Northern Mariana Islands,967.9808082446496
Liechtenstein,949.2336610209962
Turks and Caicos Islands,945.1117296088498
United States Virgin Islands,939.2738304040564
Laos,938.6158408623443
Bahamas,928.8266986721172
American Samoa,919.9529912802832
San Marino,917.165286104416
Timor-Leste,904.7355386731539
Brunei,890.5726845860065
Anguilla,878.0610021309806
Bhutan,860.1330373610646
Macau,838.6706447981921
